circRNA,disease,label,used
hsa_circ_406329,"liver cirrhosis, biliary",1,True
hsa_circrna_044353,repeated implantation failure,1,True
circfoxk2,"carcinoma, pancreatic ductal",1,True
hsa_circ_0059354,squamous cell carcinoma of head and neck,1,True
hsa_circ_0021549,"lupus erythematosus, systemic",1,True
hsa_circ_0002161,essential hypertension,1,True
hsa_circ_0002113,"tuberculosis, pulmonary",1,True
hsa_circ_0000488,"leukemia, myeloid, acute",1,True
circnrip1,stomach neoplasms,1,True
hsa_circrna_104310,infantile hemangioma,1,True
hsa_circrna_008068,prostatic neoplasms,1,True
hsa_circrna_100933,infantile hemangioma,1,True
cdkn2b-as1,inflammatory bowel diseases,1,True
circcep128,urinary bladder neoplasms,1,True
hsa_circ_100395,liver neoplasms,1,True
circrnf13,adenocarcinoma of lung,1,True
hsa_circ_0020123,"carcinoma, non-small-cell lung",1,True
hsa_circ_0035560,multiple sclerosis,1,True
circc3p1,"carcinoma, hepatocellular",1,True
hsa_circ_0000263,uterine cervical neoplasms,1,True
circ_101222,acne vulgaris,0,True
circ_stk17a,"epilepsy, temporal lobe",1,True
hsa_circrna_102336,urinary bladder neoplasms,1,True
circznf609,vascular endothelial dysfunction,1,True
hsa_circ_0101432,"carcinoma, hepatocellular",1,True
circ_usp9y,"epilepsy, temporal lobe",1,True
hsa_circ_0103809,"carcinoma, hepatocellular",1,True
circ_103546,crohn disease,1,True
hsa_circ_0000567,"carcinoma, hepatocellular",1,True
hsa_circ_0072765,liver cirrhosis,1,True
hsa-circrna5974-1,sciatica,0,True
hsa_circ_0005519,endometrial neoplasms,0,True
hsa_circ_0026372,diabetic retinopathy,1,True
hsa_circ_0003855,stomach neoplasms,1,True
circrna.22054,"diabetes, gestational",1,True
hsa_circ_0071410,laryngeal neoplasms,0,True
circ-pde8a,pancreatic neoplasms,1,True
hsa_circ_0003645,diabetic nephropathies,0,True
circbirc6,precursor t-cell lymphoblastic leukemia-lymphoma,0,True
circ-vrk1,esophageal squamous cell carcinoma,1,True
circ-ube2d2,breast neoplasms,1,True
hsa_circ_0051079,osteosarcoma,1,True
circrunx2,osteoporosis,1,True
circ-prkci,hirschsprung disease,1,True
circrna_001569,stomach neoplasms,1,True
hsa_circ_0025036,adenocarcinoma of lung,1,True
hsa_circ_0001801,glioblastoma,1,True
hsa_circ_0008106,stomach neoplasms,1,True
hsa_circ_0037251,glioma,1,True
circplekhm3,ovarian neoplasms,1,True
hsa-circrna11783-2,coronary artery disease,1,True
circ-dcaf6,stomach neoplasms,1,True
circass1,breast neoplasms,1,True
hsa_circ_0060060,thyroid neoplasms,1,True
circ-foxo3,glioblastoma,1,True
circnf1,stomach neoplasms,1,True
hsa_circ_0072088,colorectal neoplasms,1,True
hsa_circrna_104964,active tuberculosis,1,True
hsa_circ_0049657,"leukemia, myeloid, acute",1,True
hsa_circ_0004015,"carcinoma, non-small-cell lung",1,True
hsa_circrna_100918,t2dm with depression,1,True
circrna_003524,hepatocellular steatosis,0,True
hsa_circ_0108308,heart failure,0,True
circmto1,rectal neoplasms,1,True
hsa_circ_0000284,colorectal neoplasms,1,True
circfndc3b,urinary bladder neoplasms,1,True
hsa_circ_0032627,stomach neoplasms,1,True
hsa_circ_0006766,"osteoporosis, postmenopausal",1,True
circ-pax2,lung squamous cell carcinoma,1,True
hsa_circ_0006948,esophageal squamous cell carcinoma,1,True
hsa_circ_0091570,"carcinoma, hepatocellular",1,True
hsa_circ_0006916,lung neoplasms,1,True
bcrc-3,diabetic retinopathy,0,True
hsa_circ_0014130,stomach neoplasms,1,True
circscaf11,glioma,1,True
circ_004662,crohn disease,1,True
hsa_circ_082319,"liver cirrhosis, biliary",1,True
hsa_circ_0000267,stomach neoplasms,1,True
hsa_circ_104075,"carcinoma, hepatocellular",1,True
circwhsc1,ovarian neoplasms,1,True
hsa_circ_0005075,"carcinoma, hepatocellular",1,True
circabcc4,adenocarcinoma of lung,1,True
circ_ankib1,osteosarcoma,1,True
hsa_circ_0044529,squamous cell carcinoma of head and neck,1,True
hsa_circ_0100783,immunosenescence,1,True
hsa_circrna_100257,"arthritis, rheumatoid",1,True
circrna_09585,"tuberculosis, pulmonary",1,True
hsa_circ_0063781,facet joint osteoarthritis,1,True
hsa_circ_0023303,squamous cell carcinoma of head and neck,1,True
circplk1,triple negative breast neoplasms,1,True
hsa_circ_0000376,stomach neoplasms,1,True
circrna_0084043,melanoma,1,True
hsa_circ_0081108,diabetic retinopathy,1,True
circzfp57,prostatic neoplasms,1,True
hsa_circ_0072410,diabetic retinopathy,1,True
hsa_circ_0022342,chronic thromboembolic pulmonary hypertension,1,True
circ-anapc7,inflammatory bowel diseases,0,True
hsa_circ_101396,leukoaraiosis,1,True
circsmarca5,"carcinoma, non-small-cell lung",1,True
circabcc4,prostatic neoplasms,1,True
hsa_circ_0004846,osteosarcoma,1,True
hsa_circ_103047,"arthritis, rheumatoid",1,True
hsa_circ_014724,fatty liver,1,True
hsa_circrna_100834,cutaneous squamous cell carcinoma,1,True
hsa_circ_0001417,tuberculosis,1,True
circ-pax2,prostatic neoplasms,0,True
circdock1,urinary bladder neoplasms,1,True
hsa_circ_0040705,"lupus erythematosus, systemic",1,True
circ-ptprz1,glioma,1,True
hsa_circrna_100833,cutaneous squamous cell carcinoma,1,True
hsa_circ_0001649,"carcinoma, hepatocellular",1,True
hsa_circ_0000408,lung squamous cell carcinoma,1,True
circirak3,breast neoplasms,1,True
hsa_circ_0001368,stomach neoplasms,1,True
hsa_circ_0000467,stomach neoplasms,1,True
hsa_circ_0021093,"carcinoma, hepatocellular",1,True
hsa_circrna_000598,osteoarthritis,1,True
hsa_circ_0027599,stomach neoplasms,1,True
has-circrna_0046367,fatty liver,1,True
circ-notch1,stomach neoplasms,1,True
hsa_circ_0078710,"carcinoma, hepatocellular",1,True
hsa_circ_004183,fatty liver,1,True
hsa_circ_0038374,multiple system atrophy,1,True
hsa_circ_0023404,uterine cervical neoplasms,1,True
hsa_circ_0006935,repeated implantation failure,1,True
hsa_circ_001895,"carcinoma, renal cell",1,True
circ-erbb2,stomach neoplasms,1,True
circ_1639,"liver diseases, alcoholic",1,True
hsa_circ_0007534,"carcinoma, pancreatic ductal",1,True
hsa_circ_104871,"arthritis, rheumatoid",1,True
circtnfrsf21,uterine cervical neoplasms,0,True
czranb1,retinal neurodegeneration,1,True
circ_aff2,hematopoiesis,1,True
hsa_circ_0001971,squamous cell carcinoma of head and neck,1,True
hsa_circ_0036877,pre-eclampsia,1,True
hsa_circ_0000673,stomach neoplasms,1,True
cdr1as,nasopharyngeal carcinoma,1,True
hsa_circrna_009024,active tuberculosis,1,True
hsa_circ_0016788,"carcinoma, hepatocellular",1,True
hsa_circ_0037911,essential hypertension,1,True
circnek6,esophageal squamous cell carcinoma,0,True
circtada2a-e6,triple negative breast neoplasms,1,True
hsa_circ_0057576,coronary artery disease,1,True
hsa_circ_0005015,diabetic retinopathy,1,True
circslc3a2,"carcinoma, hepatocellular",1,True
circasap1,"carcinoma, hepatocellular",1,True
hsa_circ_0076305,"carcinoma, non-small-cell lung",1,True
hsa_circ_0001947,"leukemia, myeloid, acute",1,True
hsa_circrna_102101,active tuberculosis,1,True
circfoxo3,urinary bladder neoplasms,0,True
circhipk3,pancreatic neoplasms,1,True
hsa_circ_0063179,"tuberculosis, pulmonary",1,True
hsa_circ_0005198,glioma,1,True
hsa_circ_0001564,metabolism-related diseases,0,True
hsa_circrna_009024,diabetes mellitus,0,True
circ-prkci,esophageal squamous cell carcinoma,1,True
hsa_circ_0124644,coronary artery disease,1,True
hsa_circ_0000615,lupus nephritis,1,True
circabcc2,"carcinoma, hepatocellular",1,True
circrna_11109,rheumatic heart disease,1,True
hsa_circ_0000291,stomach neoplasms,1,True
hsa_circ_0006848,stomach neoplasms,1,True
hsa_circ_0060428,osteosarcoma,1,True
hsa_circ_0003575,atherosclerosis,1,True
hsa_circ_0081162,diabetic retinopathy,1,True
hsa_circ_0035381,"leukemia, myeloid, acute",1,True
circubap2,esophageal squamous cell carcinoma,1,True
hsa_circ_0001204,tuberculosis,1,True
circfblim1,"carcinoma, hepatocellular",1,True
circ-ldlrad3,pancreatic neoplasms,1,True
hsa_circ_081069,squamous cell carcinoma of head and neck,1,True
hsa_circ_0032131,osteoarthritis,1,True
circ-pkd2,squamous cell carcinoma of head and neck,1,True
circ-cdc45,repeated implantation failure,0,True
circ-dicer1,glioma,1,True
czranb1,melanoma,0,True
hsa_circ_0062019,prostatic neoplasms,1,True
circmyc,melanoma,1,True
circ-atp8a2,uterine cervical neoplasms,1,True
hsa_circ_0030055,diabetic retinopathy,1,True
hsa_circ_0000467,osteoporosis,0,True
hsa_circrna_14623,"tuberculosis, pulmonary",1,True
hsa_circrna_002178,"diabetes, gestational",0,True
hsa_circrna11806-28,"diabetes mellitus, type 2",1,True
circ-foxp1,"carcinoma, hepatocellular",1,True
hsa_circ_0003645,"carcinoma, non-small-cell lung",1,True
hsa_circ_0002362,"tuberculosis, pulmonary",1,True
hsa_circ_0023956,active pulmonary tuberculosis,1,True
hsa_circrna_061346,"thyroid cancer, papillary",1,True
circ-cbfb,"leukemia, lymphocytic, chronic, b-cell",1,True
hsa_circ_0000003,"carcinoma, non-small-cell lung",1,True
hsa_circ_0080145,"leukemia, myelogenous, chronic, bcr-abl positive",1,True
hsa_circ_0058124,thyroid neoplasms,1,True
circ-akt3,lung neoplasms,1,True
hsa_circ_0089378,coronary artery disease,1,True
cdr1as,esophageal squamous cell carcinoma,1,True
hsa_circrna_004662,"thyroid cancer, papillary",1,True
hsa_circ_101280,"carcinoma, hepatocellular",1,True
hsa_circ_0051172,coronary artery disease,1,True
cttn2,active tuberculosis,0,True
hsa_circ_001569,colorectal neoplasms,1,True
circagfg1,"carcinoma, non-small-cell lung",1,True
circ-cep85l,hypopharyngeal neoplasms,0,True
hsa_circ_0001946,stomach neoplasms,1,True
hsa_circ_0012919,"lupus erythematosus, systemic",1,True
hsa_circ_0076248,glioma,1,True
circ-homer1,"carcinoma, hepatocellular",1,True
cdr1as,"carcinoma, non-small-cell lung",1,True
hsa_circrna_101319,"arthritis, rheumatoid",1,True
circrna_001275,esophageal neoplasms,1,True
hsa_circ_0083964,"arthritis, rheumatoid",1,True
hsa_circ_0018508,"diabetes mellitus, type 2",1,True
hsa_circ_0000190,osteosarcoma,1,True
circ-sfmbt2,stomach neoplasms,1,True
hsa_circ_001598,urinary bladder neoplasms,1,True
hsa_circrna_102761,colorectal neoplasms,1,True
hsa_circ_103973,uterine cervical neoplasms,1,True
hsa_circ_0007255,breast neoplasms,1,True
circ-ttbk2,glioma,1,True
hsa_circ_009755,squamous cell carcinoma of head and neck,1,True
hsa_circ_0003998,adenocarcinoma of lung,1,True
hsa_circrna_046843,"thyroid cancer, papillary",1,True
hsa_circ_0000517,multiple sclerosis,1,True
hsa_circ_0001658,stomach neoplasms,1,True
hsa_circ_0068942,coronary artery disease,1,True
hsa_circ_0058063,urinary bladder neoplasms,1,True
circankrd36,"diabetes mellitus, type 2",1,True
hsa_circ_0011385,thyroid neoplasms,1,True
circrna7752,herpes simplex,1,True
circ-znf264,glioma,1,True
hsa_circ_0136666,breast neoplasms,1,True
circ_102610,crohn disease,1,True
hsa_circ_0074362,glioma,1,True
hsa_circ_0041796,diabetic retinopathy,1,True
hsa_circ_0000799,urinary bladder neoplasms,1,True
hsa_circ_0072387,squamous cell carcinoma of head and neck,1,True
circatrnl1,squamous cell carcinoma of head and neck,1,True
hsa_circrna_100750,diabetic retinopathy,1,True
hsa_circ_0067835,colorectal neoplasms,1,True
hsa_circ_0006990,colorectal neoplasms,1,True
hsa_circrna_103595,lung neoplasms,1,True
circrna-0001855,pre-eclampsia,1,True
hsa_circ_101555,colorectal neoplasms,1,True
circpvt1,esophageal neoplasms,1,True
hsa_circ_0043278,"carcinoma, non-small-cell lung",1,True
hsa_circrna_103387,osteoarthritis,1,True
hsa_circ_0000977,pancreatic neoplasms,1,True
circrna_0047905,stomach neoplasms,1,True
circ_vps37c,"epilepsy, temporal lobe",1,True
hsa_circ_0030569,tuberculosis,1,True
circctdp1,urinary bladder neoplasms,1,True
hsa_circ_103809,"carcinoma, hepatocellular",1,True
hsa_circ_0000615,hirschsprung disease,1,True
hsa_circ_0006427,adenocarcinoma of lung,1,True
circrna-chr19,"hemorrhagic fever, ebola",1,True
hsa_circ_0091579,liver neoplasms,1,True
hsa_circrna_100933,silicosis,0,True
hsa_circ_0017247,melanoma,1,True
hsa_circ_0039411,"carcinoma, hepatocellular",1,True
hsa_circ_0068489,diabetic retinopathy,1,True
circabcc2,primary great saphenous vein varicosities,0,True
hsa_circ_0000519,multiple sclerosis,1,True
hsa_circ_001653,"carcinoma, pancreatic ductal",1,True
hsa_circ_0008450,"carcinoma, hepatocellular",1,True
hsa_circrna_101975,osteoarthritis,1,True
cznf292,heart failure,1,True
hsa_circ_0030235,"carcinoma, pancreatic ductal",1,True
circrna7231,"thyroid cancer, papillary",0,True
circ-pgam1,"carcinoma, ovarian epithelial",1,True
hsa_circ_0007788,"leukemia, promyelocytic, acute",0,True
hsa_circrna_100782,pre-eclampsia,1,True
hsa_circ_cspp1,uterine cervical neoplasms,1,True
hsa_circ_001895,cholangiocarcinoma,0,True
hsa_circ_0036877,"carcinoma, pancreatic ductal",0,True
circfut8,urinary bladder neoplasms,1,True
hsa_circ_0003146,"lupus erythematosus, systemic",1,True
hsa_circ_0013958,adenocarcinoma of lung,1,True
hsa_circ_0005015,"leukemia, lymphocytic, chronic, b-cell",0,True
hsa_circ_0054345,irradiated hepatic stellate cell,1,True
hsa_circ_0055625,colonic neoplasms,1,True
hsa_circ_0030569,hirschsprung disease,0,True
hsa_circ_103783,acne vulgaris,0,True
circptpn22,"diabetes, gestational",0,True
circ-znf609,colorectal neoplasms,1,True
hsa_circ_0004277,leukemia,1,True
hsa_circ_0000594,glioma,1,True
hsa_circ_0008365,stomach neoplasms,1,True
circnfix,glioma,1,True
hsa_circrna_029965,active tuberculosis,1,True
hsa_circ_0026134,"carcinoma, non-small-cell lung",1,True
hsa_circ_0031288,uterine cervical neoplasms,1,True
hsa_circ_0046600,"carcinoma, hepatocellular",1,True
hsa_circ_0001846,triple negative breast neoplasms,1,True
hsa_circrna_100192,diabetic retinopathy,1,True
circadamts13,liver neoplasms,1,True
circrna_092516,"arthritis, rheumatoid",1,True
hsa_circ_0068087,diabetes mellitus,1,True
circ2174,cholangiocarcinoma,1,True
hsa_circ_0070616,repeated implantation failure,1,True
hsa_circ_0092303,stomach neoplasms,1,True
hsa_circ_0003519,active pulmonary tuberculosis,1,True
hsa_circ_0067997,stomach neoplasms,1,True
hsa_circ_0000554,esophageal neoplasms,1,True
hsa_circ_0092374,"lupus erythematosus, systemic",1,True
hsa_circ_014724,"osteoporosis, postmenopausal",0,True
circlmtk2,prostatic neoplasms,1,True
circdync1h1,"carcinoma, hepatocellular",1,True
hsa_circ_0050898,moyamoya disease,1,True
circrna_101873,"arthritis, rheumatoid",1,True
hsa_circ_0000592,stomach neoplasms,1,True
circrip2,urinary bladder neoplasms,1,True
hsa_circ_001783,breast neoplasms,1,True
hsa_circ_0054345,liver cirrhosis,1,True
hsa_circ_0064996,"arthritis, rheumatoid",1,True
hsa_circ_0012673,adenocarcinoma of lung,1,True
circrna_103047,"arthritis, rheumatoid",1,True
hsa_circ_0056731,multiple sclerosis,1,True
hsa_circ_0001178,"carcinoma, hepatocellular",1,True
circ_0002198,endometriosis,1,True
hsa_circ_0002052,osteosarcoma,1,True
circrna-0067835,"epilepsy, temporal lobe",1,True
hsa-circ-0008139,hypertension,1,True
hsa_circrna_103343,moyamoya disease,1,True
hsa_circ_0005963,colonic neoplasms,1,True
circprrc2a,"carcinoma, renal cell",1,True
hsa_circ_0066922,diabetic retinopathy,1,True
hsa_circ_0037909,essential hypertension,1,True
circ-zeb1.33,"carcinoma, hepatocellular",1,True
hsa_circ_0000177,glioma,1,True
hsa_circ_0003258,"carcinoma, hepatocellular",1,True
hsa_circrna_102034,"arthritis, rheumatoid",1,True
circrna_0084043,t2dm with depression,0,True
hsa_circ_0079993,glucocorticoid-induced osteonecrosis of femoral head,0,True
circlpar1,urinary bladder neoplasms,1,True
circrna-acap2,fatty liver,0,True
hsa_circ_0002346,adenocarcinoma of lung,1,True
hsa_circrna_404686,repeated implantation failure,1,True
hsa_circ_0075828,urinary bladder neoplasms,1,True
hsa_circ_0001105,osteosarcoma,1,True
circznf609,ovarian neoplasms,0,True
circeif4g2,uterine cervical neoplasms,1,True
circptgr1,"carcinoma, hepatocellular",1,True
circmyo9b,breast neoplasms,1,True
circ_stk17a,diabetic retinopathy,0,True
hsa_circ_0023404,osteoarthritis,1,True
hsa_circrna_100834,immunosenescence,0,True
hsa_circ_000361,"liver cirrhosis, biliary",1,True
hsa_circ_0009362,triple negative breast neoplasms,1,True
circrbm23,"carcinoma, hepatocellular",1,True
hsa_circ_0062389,"carcinoma, non-small-cell lung",1,True
hsa_circ_0006323,"liver diseases, alcoholic",0,True
circ_092520,crohn disease,1,True
hsa_circ_0002768,urinary bladder neoplasms,1,True
hsa_circ_0058092,stomach neoplasms,1,True
hsa_circ_0007385,"carcinoma, non-small-cell lung",1,True
hsa_circ_0049224,"lupus erythematosus, systemic",1,True
hsa_circ_0008078,"leukemia, myeloid, acute",1,True
hsa_circ_0071410,liver cirrhosis,1,True
hsa_circ_0006282,stomach neoplasms,1,True
hsa_circ_0089310,"depressive disorder, major",1,True
circ-scarb1,squamous cell carcinoma of head and neck,1,True
hsa_circrna_102116,infantile hemangioma,1,True
hsa_circ_0070269,"carcinoma, hepatocellular",1,True
hsa_circ_0025039,melanoma,1,True
circ_stk24,"epilepsy, temporal lobe",1,True
hsa_circ_0000073,retinoblastoma,0,True
hsa_circ_0046264,lung neoplasms,1,True
hsa_circ_0037909,lymphangiogenesis,0,True
hsa_circ_0007915,liver neoplasms,1,True
hsa_circ_0087537,facet joint osteoarthritis,1,True
hsa_circrna_104296,active tuberculosis,1,True
hsa_circ_0026143,endometriosis,1,True
hsa_circ_006100,stomach neoplasms,1,True
circdlgap4,glioblastoma,0,True
hsa_circ_0137439,urinary bladder neoplasms,1,True
circvangl1,urinary bladder neoplasms,1,True
hsa_circ_0025202,breast neoplasms,1,True
circankrd36,precursor cell lymphoblastic leukemia-lymphoma,0,True
circfgfr3,"carcinoma, non-small-cell lung",1,True
hsa_circrna_101873,"arthritis, rheumatoid",1,True
circzfr,urinary bladder neoplasms,1,True
hsa_circ_0075001,"leukemia, myeloid, acute",1,True
hsa_circrna_406918,diabetic retinopathy,1,True
hsa_circ_002136,glioma,1,True
circptpra,urinary bladder neoplasms,1,True
hsa_circ_0001313,colonic neoplasms,1,True
hsa_circ_0026134,salivary adenoid cystic carcinoma,0,True
hsa_circrna_000479,triple negative breast neoplasms,1,True
hsa_circ_0058058,"leukemia, myeloid, acute",1,True
hsa_circ_0057093,crohn disease,0,True
cdr1as,urinary bladder neoplasms,1,True
hsa_circ_0001429,urinary bladder neoplasms,1,True
hsa_circrna_0007334,"carcinoma, pancreatic ductal",1,True
hsa_circ_0082374,glioma,1,True
hsa_circ_100290,"leukemia, myeloid, acute",1,True
circrna_000284,uterine cervical neoplasms,1,True
hsa_circ_0004712,"arthritis, rheumatoid",1,True
hsa_circ_0092306,stomach neoplasms,1,True
hsa_circ_0056731,"carcinoma, pancreatic ductal",0,True
circ-postn,glioma,1,True
circtrim33-12,"carcinoma, hepatocellular",1,True
circibtk,"lupus erythematosus, systemic",1,True
circ-cdyl,breast neoplasms,1,True
circ-foxm1,melanoma,1,True
hsa_circ_0072083,"carcinoma, non-small-cell lung",1,True
hsa_circ_0000518,multiple sclerosis,1,True
circrna_0072309,liver neoplasms,1,True
circptn,glioma,1,True
circ_aff2,"leukemia, myeloid, acute",0,True
circ_sdha,colonic neoplasms,0,True
hsa_circrna_015115,t2dm with depression,1,True
circ-itch,urinary bladder neoplasms,1,True
hsa_circrna_063981,diabetic retinopathy,1,True
hsa_circ_0001451,triple negative breast neoplasms,1,True
cdr1as,osteosarcoma,1,True
hsa_circ_0089310,carotid plaque rupture,0,True
hsa_circ_0004771,breast neoplasms,1,True
hsa_circ_0004277,"leukemia, myeloid, acute",1,True
circrna-acap2,colonic neoplasms,1,True
hsa_circ_0008225,glioma,1,True
hsa_circ_0091702,intervertebral disc degeneration,1,True
circman2b2,glioma,1,True
hsa_circ_0007534,breast neoplasms,1,True
hsa_circ_0071410,liver neoplasms,1,True
cir-ccdc66,hirschsprung disease,1,True
hsa_circ_0108308,repeated implantation failure,0,True
circ_0043144,"vitreoretinopathy, proliferative",1,True
hsa_circ_0017446,"leukemia, myeloid, acute",1,True
hsa_circrna_092516,"arthritis, rheumatoid",1,True
hsa_circ_0001445,uterine cervical neoplasms,1,True
hsa_circ_0020397,colorectal neoplasms,1,True
hsa_circ_0001819,lupus nephritis,1,True
circshkbp1,glioma,1,True
hsa_circ_0087862,"carcinoma, non-small-cell lung",1,True
hsa_circ_0001098,breast neoplasms,1,True
circrna_5692,"carcinoma, hepatocellular",1,True
hsa_circ_0078768,active pulmonary tuberculosis,1,True
hsa_circ_0000735,"carcinoma, non-small-cell lung",1,True
hsa_circ_0061825,breast neoplasms,1,True
hsa_circ_0071589,colorectal neoplasms,1,True
hsa_circ_0000337,esophageal squamous cell carcinoma,1,True
circbirc6,"carcinoma, non-small-cell lung",1,True
hsa_circ_402458,"liver cirrhosis, biliary",1,True
hsa_circ_0008549,stomach neoplasms,1,True
hsa_circ_0001946,alzheimer disease,1,True
hsa_circrna_100918,endometrial neoplasms,0,True
hsa_circ_0001721,osteosarcoma,1,True
hsa_circ_0057762,"lupus erythematosus, systemic",1,True
circ-pitx1,glioblastoma,1,True
hsa_circ_0006404,prostatic neoplasms,1,True
circ_0002198,"liver cirrhosis, biliary",0,True
hsa_circ_0045272,"lupus erythematosus, systemic",1,True
hsa_circrna_101720,"carcinoma, mucoepidermoid",0,True
hsa_circ_102533,leukoaraiosis,1,True
hsa_circ_0005620,"depressive disorder, major",1,True
hsa_circ_0000254,"leukemia, myeloid, acute",1,True
hsa_circ_0035483,"carcinoma, renal cell",1,True
hsa_circ_0012129,glioma,1,True
hsa_circ_0068033,breast neoplasms,1,True
hsa_circ_0023903,moyamoya disease,1,True
circfam114a2,bladder urothelial carcinoma,1,True
circyap1,stomach neoplasms,1,True
